Gene	neg.pval	neg.fdr	pos.pval	pos.fdr	lfc
enhancer_mutagenesis_0_GtoA	0.938634856593226	0.999999449729043	0.505713953204225	0.999998990089494	0.26891
enhancer_mutagenesis_0_GtoC	0.995328865470153	0.999999449729043	0.0955887403898605	0.437502311784362	0.4519
enhancer_mutagenesis_0_GtoT	0.947275541038877	0.999999449729043	0.196975414808132	0.683022034394291	0.45504
enhancer_mutagenesis_1_GtoA	0.835897500744447	0.999999449729043	0.259316996338614	0.796821474664896	-0.067741
enhancer_mutagenesis_1_GtoC	0.984708391949073	0.999999449729043	0.292686341041695	0.849504258145407	0.62328
enhancer_mutagenesis_1_GtoT	0.99520403560539	0.999999449729043	0.0949318490412028	0.436020317175209	0.39228
enhancer_mutagenesis_10_CtoA	0.903601172818384	0.999999449729043	0.00336502587601967	0.0762529649695059	1.0626
enhancer_mutagenesis_10_CtoG	0.994330340609814	0.999999449729043	0.0991209361426155	0.448959534293023	0.52351
enhancer_mutagenesis_10_CtoT	0.914743927722325	0.999999449729043	0.607758093145107	0.999998990089494	0.088055
enhancer_mutagenesis_100_GtoA	0.339680926426995	0.999999449729043	0.686837673704878	0.999998990089494	-0.65949
enhancer_mutagenesis_100_GtoC	0.204824570488845	0.960893826689865	0.863365007535667	0.999998990089494	-1.4298
enhancer_mutagenesis_100_GtoT	0.70774459301721	0.999999449729043	0.161763773344065	0.594799941874666	-0.35287
enhancer_mutagenesis_102_GtoA	0.759723167604114	0.999999449729043	0.310215906407493	0.86767654163976	0.045531
enhancer_mutagenesis_102_GtoC	0.000105035885238745	0.0096477697825564	0.999998990089494	0.999998990089494	-2.5017
enhancer_mutagenesis_102_GtoT	0.19849897784171	0.951230998585547	0.130364931594413	0.526690418077426	-0.58195
enhancer_mutagenesis_103_TtoA	0.179170586170251	0.900323598068553	0.158035622350478	0.588559282690672	0.35178
enhancer_mutagenesis_103_TtoC	0.168605692911591	0.875812904846318	0.00227885145417053	0.0634684373087068	-1.26
enhancer_mutagenesis_103_TtoG	0.00378598464940755	0.0842644524330514	0.773033896316461	0.999998990089494	-1.7212
enhancer_mutagenesis_104_CtoA	0.00115847378764017	0.0399063733689732	0.997971924301012	0.999998990089494	-2.3067
enhancer_mutagenesis_104_CtoG	0.0410019691217594	0.401011718472644	0.915930127285752	0.999998990089494	-1.2778
enhancer_mutagenesis_104_CtoT	0.00119256983887517	0.0405473745217557	0.999977441334297	0.999998990089494	-1.9598
enhancer_mutagenesis_105_TtoA	0.0695004520147242	0.541524355281393	0.06889404157783	0.360729201701518	-1.9844
enhancer_mutagenesis_105_TtoC	0.0494830189724476	0.448257936573937	0.614200771966414	0.999998990089494	-1.0117
enhancer_mutagenesis_105_TtoG	0.399361424266302	0.999999449729043	0.22198231661184	0.736564898466157	0.024691
enhancer_mutagenesis_106_CtoA	0.3382237725206	0.999999449729043	0.103219634686797	0.458015260355993	1.2988
enhancer_mutagenesis_106_CtoG	0.301482647005567	0.999999449729043	0.616735178939477	0.999998990089494	0.2861
enhancer_mutagenesis_106_CtoT	0.956932817386015	0.999999449729043	0.0543734422573366	0.30945580832545	0.8664
enhancer_mutagenesis_107_TtoA	0.860593661414776	0.999999449729043	0.287478216357488	0.839038985979827	-0.13558
enhancer_mutagenesis_107_TtoC	0.116996678988981	0.7025167559476	0.889806148715089	0.999998990089494	-0.79018
enhancer_mutagenesis_107_TtoG	0.0612686754831925	0.502825681551718	0.979352428580724	0.999998990089494	-0.77928
enhancer_mutagenesis_108_CtoA	0.0272593555914565	0.309431308479553	0.900173958121172	0.999998990089494	-1.4592
enhancer_mutagenesis_108_CtoG	0.00326913411310756	0.0744225487662226	0.878720215566264	0.999998990089494	-1.981
enhancer_mutagenesis_108_CtoT	0.763915683186358	0.999999449729043	0.181968001520577	0.647272048887053	0.92846
enhancer_mutagenesis_109_GtoA	0.00628861127651197	0.116763009375236	0.999738472893039	0.999998990089494	-1.8307
enhancer_mutagenesis_109_GtoC	0.82020192908148	0.999999449729043	0.690332816880643	0.999998990089494	0.034306
enhancer_mutagenesis_109_GtoT	0.206848774160683	0.96529427941652	0.187660218556584	0.659142938631567	-0.22329
enhancer_mutagenesis_11_TtoA	0.994054944129578	0.999999449729043	0.135034289183466	0.53972483829361	0.58171
enhancer_mutagenesis_11_TtoC	0.897250441504556	0.999999449729043	0.732743444618046	0.999998990089494	0.1505
enhancer_mutagenesis_11_TtoG	0.814848943933666	0.999999449729043	0.616820817658503	0.999998990089494	0.067917
enhancer_mutagenesis_110_TtoA	0.574538946647157	0.999999449729043	0.945640973260404	0.999998990089494	-0.050997
enhancer_mutagenesis_110_TtoC	0.11216321401596	0.690074388872992	0.928415741268809	0.999998990089494	-0.70461
enhancer_mutagenesis_110_TtoG	0.595266877051609	0.999999449729043	0.694641350447748	0.999998990089494	-0.12332
enhancer_mutagenesis_111_GtoA	0.545032516785404	0.999999449729043	0.765804359191473	0.999998990089494	0.082857
enhancer_mutagenesis_111_GtoC	0.283342784825412	0.999999449729043	0.812512423972779	0.999998990089494	-0.51792
enhancer_mutagenesis_111_GtoT	0.794089324795148	0.999999449729043	0.519538545987637	0.999998990089494	0.053325
enhancer_mutagenesis_112_TtoA	0.266316973231344	0.999999449729043	0.905057920615306	0.999998990089494	0.038173
enhancer_mutagenesis_112_TtoC	0.564834235114284	0.999999449729043	0.273976434253048	0.820675406034873	-0.020949
enhancer_mutagenesis_112_TtoG	0.725543098172105	0.999999449729043	0.731979977493758	0.999998990089494	0.051989
enhancer_mutagenesis_113_GtoA	0.548713782342096	0.999999449729043	0.946756296520332	0.999998990089494	-0.18602
enhancer_mutagenesis_113_GtoC	0.369913292368921	0.999999449729043	0.918065357263837	0.999998990089494	-0.67066
enhancer_mutagenesis_113_GtoT	0.888602800798754	0.999999449729043	0.694171624817861	0.999998990089494	-0.16875
enhancer_mutagenesis_114_GtoA	0.00531506602283118	0.101568195969139	0.999886491693874	0.999998990089494	-1.0923
